Identificador,Tipo,Categoria,Posicao,Projeto
 version ,byte,10,Variavel,projeto
 p ,int,10,Variavel,projeto
 r ,int,10,Variavel,projeto
 registerSerdeToken ,byte,7,Variavel,projeto
 numRegisters ,int,6,Variavel,projeto
 registersClass ,Class,6,Variavel,projeto
 registers,Registers,10,Variavel,projeto
 registerValues ,long,6,Variavel,projeto
 registerValues ,int,6,Variavel,projeto
 outputBuffer ,ByteBuffer,6,Variavel,projeto
 registersClass ,Class,6,Variavel,projeto
 registersSerdeToken ,byte,7,Variavel,projeto
 longRegisters ,LongRegisters,6,Variavel,projeto
 intRegisters ,IntRegisters,6,Variavel,projeto
 registersClass ,Class,6,Variavel,projeto
 registerSizeInBytes,int,7,Variavel,projeto
 registerValues ,long,6,if,projeto
 i ,int,10,if,projeto
 registerValues ,int,6,if,projeto
 i ,int,10,if,projeto
 longRegisters ,LongRegisters,6,if,projeto
 register ,long,10,if,projeto
 intRegisters ,IntRegisters,6,if,projeto
 register ,int,10,if,projeto
 registers, int,10,Atributo,projeto
 p,int,10,Atributo,projeto
 r,int,10,Atributo,projeto
 intIncomingRegister ,int,7,Variavel,projeto
 currentRegister ,int,6,Variavel,projeto
 currentLeadingOnePosition ,int,7,Variavel,projeto
 incomingLeadingOnePosition ,int,7,Variavel,projeto
 currentMantissa ,int,6,Variavel,projeto
 incomingMantissa ,int,6,Variavel,projeto
 count ,int,10,Variavel,projeto
 that ,IntRegisters,10,Variavel,projeto
 result ,int,10,Variavel,projeto
 currentMantissa ,int,6,if,projeto
 incomingMantissa ,int,6,if,projeto
 registers, long,10,Atributo,projeto
 p,int,10,Atributo,projeto
 r,int,10,Atributo,projeto
 currentRegister ,long,6,Variavel,projeto
 currentLeadingOnePosition ,int,7,Variavel,projeto
 incomingLeadingOnePosition ,int,7,Variavel,projeto
 currentMantissa ,long,6,Variavel,projeto
 incomingMantissa ,long,6,Variavel,projeto
 count ,int,10,Variavel,projeto
 that ,LongRegisters,10,Variavel,projeto
 result ,int,10,Variavel,projeto
 currentMantissa ,long,6,if,projeto
 incomingMantissa ,long,6,if,projeto
 NULL_HASHCODE ,long,8,Atributo,projeto
 C1_32 ,int,8,Atributo,projeto
 C2_32 ,int,8,Atributo,projeto
 R1_32 ,int,8,Atributo,projeto
 R2_32 ,int,8,Atributo,projeto
 M_32 ,int,8,Atributo,projeto
 N_32 ,int,8,Atributo,projeto
 C1 ,long,10,Atributo,projeto
 C2 ,long,10,Atributo,projeto
 R1 ,int,10,Atributo,projeto
 R2 ,int,10,Atributo,projeto
 R3 ,int,10,Atributo,projeto
 M ,int,10,Atributo,projeto
 N1 ,int,10,Atributo,projeto
 N2 ,int,10,Atributo,projeto
 DEFAULT_SEED ,int,8,Atributo,projeto
 tail ,byte,10,Atributo,projeto
 tailLen,int,6,Atributo,projeto
 totalLen,int,6,Atributo,projeto
 hash,int,10,Atributo,projeto
 hash ,int,10,Variavel,projeto
 r0 ,long,10,Variavel,projeto
 hash ,int,10,Variavel,projeto
 r0 ,long,10,Variavel,projeto
 r1 ,long,10,Variavel,projeto
 hash ,int,10,Variavel,projeto
 nblocks ,int,10,Variavel,projeto
 i_4 ,int,8,Variavel,projeto
 k ,int,10,Variavel,projeto
 idx ,int,10,Variavel,projeto
 k1 ,int,10,Variavel,projeto
 hash ,long,10,Variavel,projeto
 k ,long,10,Variavel,projeto
 length ,int,10,Variavel,projeto
 k1 ,long,10,Variavel,projeto
 length ,int,10,Variavel,projeto
 hash ,long,10,Variavel,projeto
 hash ,long,10,Variavel,projeto
 k1 ,long,10,Variavel,projeto
 hash ,long,10,Variavel,projeto
 nblocks ,int,10,Variavel,projeto
 i8 ,int,10,Variavel,projeto
 k ,long,10,Variavel,projeto
 k1 ,long,10,Variavel,projeto
 tailStart ,int,6,Variavel,projeto
 h1 ,long,10,Variavel,projeto
 h2 ,long,10,Variavel,projeto
 nblocks ,int,10,Variavel,projeto
 i16 ,int,10,Variavel,projeto
 k1 ,long,10,Variavel,projeto
 k2 ,long,10,Variavel,projeto
 k1 ,long,10,Variavel,projeto
 k2 ,long,10,Variavel,projeto
 tailStart ,int,6,Variavel,projeto
 offset2 ,int,10,Variavel,projeto
 k ,int,10,Variavel,projeto
 length2 ,int,10,Variavel,projeto
 nblocks ,int,10,Variavel,projeto
 i_4 ,int,8,Variavel,projeto
 k ,int,10,Variavel,projeto
 consumed ,int,10,Variavel,projeto
 k1 ,int,10,Variavel,projeto
 i_4 ,int,8,For,projeto
 k ,int,10,For,projeto
 i8 ,int,10,For,projeto
 k ,long,10,For,projeto
 i16 ,int,10,For,projeto
 k1 ,long,10,For,projeto
 k2 ,long,10,For,projeto
 i_4 ,int,8,For,projeto
 k ,int,10,For,projeto
 k ,int,10,if,projeto
 tail ,byte,10,Atributo,projeto
 tailLen,int,6,Atributo,projeto
 totalLen,int,6,Atributo,projeto
 hash,int,10,Atributo,projeto
 offset2 ,int,10,Variavel,projeto
 k ,int,10,Variavel,projeto
 length2 ,int,10,Variavel,projeto
 nblocks ,int,10,Variavel,projeto
 i_4 ,int,8,Variavel,projeto
 k ,int,10,Variavel,projeto
 consumed ,int,10,Variavel,projeto
 k1 ,int,10,Variavel,projeto
 i_4 ,int,8,For,projeto
 k ,int,10,For,projeto
 k ,int,10,if,projeto
 NUM_THREADS ,int,8,Atributo,projeto
 threadPool ,ExecutorService,6,Atributo,projeto
 rng ,Random,10,Atributo,projeto
 out ,long,10,Variavel,projeto
 jac ,double,10,Variavel,projeto
 unionSize ,long,6,Variavel,projeto
 intersectionSize ,long,6,Variavel,projeto
 sketchSize ,long,6,Variavel,projeto
 sketches ,BetaMinHash,10,Variavel,projeto
 combiner ,BetaMinHashCombiner,10,Variavel,projeto
 sb ,StringBuilder,10,Variavel,projeto
 exactUnionSize ,long,7,Variavel,projeto
 sum ,long,10,Variavel,projeto
 out ,BetaMinHash,10,Variavel,projeto
 counter ,long,10,Variavel,projeto
 val ,byte,10,Variavel,projeto
 sb ,StringBuilder,10,Variavel,projeto
 sb ,StringBuilder,10,Variavel,projeto
 pct ,double,10,Variavel,projeto
 jac ,double,10,For,projeto
 unionSize ,long,6,For,projeto
 intersectionSize ,long,6,For,projeto
 sketchSize ,long,6,For,projeto
 val ,byte,10,For,projeto
 delta ,long,10,Variavel,projeto
 unique ,ByteBuffer,10,Variavel,projeto
 assertionCheckpoint ,int,6,Variavel,projeto
 bytes ,byte,10,Variavel,projeto
 exact ,long,10,Variavel,projeto
 res ,long,10,Variavel,projeto
 pctError ,double,6,Variavel,projeto
 unique ,ByteBuffer,10,Variavel,projeto
 bytes ,byte,10,Variavel,projeto
 msk ,Sketch,10,Variavel,projeto
 exact ,long,10,Variavel,projeto
 res ,long,10,Variavel,projeto
 pctError ,double,6,Variavel,projeto
 sk1 ,Sketch,10,Variavel,projeto
 sk2 ,Sketch,10,Variavel,projeto
 frac ,double,10,Variavel,projeto
 expected ,long,10,Variavel,projeto
 result ,long,10,Variavel,projeto
 pctError ,double,6,Variavel,projeto
 smallSketch ,Sketch,6,Variavel,projeto
 bigSketch ,Sketch,6,Variavel,projeto
 expectedJaccardIndex ,double,7,Variavel,projeto
 expectedIntersection ,long,6,Variavel,projeto
 actualIntersection ,long,6,Variavel,projeto
 pctError ,double,6,Variavel,projeto
 sketchSize ,long,6,Variavel,projeto
 intersectionSize ,long,6,Variavel,projeto
 sk1 ,Sketch,10,Variavel,projeto
 sk2 ,Sketch,10,Variavel,projeto
 sk3 ,Sketch,10,Variavel,projeto
 sk4 ,Sketch,10,Variavel,projeto
 expectedIntersection ,long,6,Variavel,projeto
 actualIntersection ,long,6,Variavel,projeto
 pctError ,double,6,Variavel,projeto
 numIter ,long,6,Variavel,projeto
 val ,byte,10,Variavel,projeto
 n ,int,10,Variavel,projeto
 b ,byte,10,Variavel,projeto
 bytes ,byte,10,For,projeto
 sk1 ,Sketch,10,For,projeto
 sk2 ,Sketch,10,For,projeto
 frac ,double,10,For,projeto
 expected ,long,10,For,projeto
 result ,long,10,For,projeto
 pctError ,double,6,For,projeto
 sk1 ,Sketch,10,For,projeto
 sk2 ,Sketch,10,For,projeto
 sk3 ,Sketch,10,For,projeto
 sk4 ,Sketch,10,For,projeto
 expectedIntersection ,long,6,For,projeto
 actualIntersection ,long,6,For,projeto
 pctError ,double,6,For,projeto
 val ,byte,10,For,projeto
 bytes ,byte,10,while,projeto
 exact ,long,10,while,projeto
 res ,long,10,while,projeto
 pctError ,double,6,while,projeto
 exact ,long,10,if,projeto
 res ,long,10,if,projeto
 pctError ,double,6,if,projeto
 sketch ,Sketch,10,if,projeto
 rng ,Random,10,Variavel,projeto
 seed ,long,10,Variavel,projeto
 seed ,long,10,For,projeto
 sk ,BetaMinHash,10,Variavel,projeto
 maxUniqueElements ,int,7,Variavel,projeto
 minTestCardinality ,int,7,Variavel,projeto
 pctErr ,double,6,Variavel,projeto
 combiner ,BetaMinHashCombiner,10,Variavel,projeto
 elementsPerSketch ,int,7,Variavel,projeto
 pctErr ,double,6,Variavel,projeto
 overlapSlices ,int,6,Variavel,projeto
 numElementsLeftSketch ,int,7,Variavel,projeto
 pctError ,double,6,Variavel,projeto
 smallSetSize ,int,7,Variavel,projeto
 bigSetSize ,int,7,Variavel,projeto
 maxPctErr ,double,7,Variavel,projeto
 initialIntersectionSize ,int,7,Variavel,projeto
 initialSketchSize ,int,7,Variavel,projeto
 numIter ,int,6,Variavel,projeto
 maxPctErr ,double,7,For,projeto
 serde ,BetaMinHashSerde,10,Variavel,projeto
 sketch ,BetaMinHash,10,Variavel,projeto
 serde ,BetaMinHashSerde,10,Variavel,projeto
 iterations ,int,10,Variavel,projeto
 sketch ,BetaMinHash,10,Variavel,projeto
 numElements ,int,6,Variavel,projeto
 serde ,BetaMinHashSerde,10,Variavel,projeto
 sketch ,BetaMinHash,10,Variavel,projeto
 numElements ,int,6,Variavel,projeto
 bytes ,byte,10,Variavel,projeto
 rawEstimates , double,6,Variavel,projeto
 biases , double,10,Variavel,projeto
 basicEstimate ,long,6,Variavel,projeto
 slope ,double,10,Variavel,projeto
 expectedOutput ,double,6,Variavel,projeto
 actualEstimate ,double,6,Variavel,projeto
 sk ,HyperMinHash,10,Variavel,projeto
 maxUniqueElements ,int,7,Variavel,projeto
 minTestCardinality ,int,7,Variavel,projeto
 pctErr ,double,6,Variavel,projeto
 combiner ,HyperMinHashCombiner,10,Variavel,projeto
 elementsPerSketch ,int,7,Variavel,projeto
 pctErr ,double,6,Variavel,projeto
 overlapSlices ,int,6,Variavel,projeto
 numElementsLeftSketch ,int,7,Variavel,projeto
