nome_identificador,nome_da_classe,score_relacao,nome_arquivo,media_top3_atributo
 c ,combiner,-1,,-1
 n ,beta,-1,,-1
 n ,min,-1,,-1
 n ,hash,-1,,-1
 n ,combiner,-1,,-1
 first,beta,-1,,-1
sketch ,beta,-1,,-1
 first,min,-1,,-1
sketch ,min,-1,,-1
 first,hash,-1,,-1
sketch ,hash,-1,,-1
 first,combiner,-1,,-1
sketch ,combiner,-1,,-1
 item,beta,-1,,-1
in,beta,0.293466,,0.7485605676968893
intersection ,beta,-1,,-1
 item,min,-1,,-1
in,min,0.24776308,,0.7485605676968893
intersection ,min,-1,,-1
 item,hash,-1,,-1
in,hash,0.25106388,,0.7485605676968893
intersection ,hash,-1,,-1
 item,combiner,-1,,-1
in,combiner,0.3132326,,0.7485605676968893
intersection ,combiner,-1,,-1
 cardinalities ,beta,-1,,-1
 cardinalities ,min,-1,,-1
 cardinalities ,hash,-1,,-1
 cardinalities ,combiner,-1,,-1
 i ,beta,-1,,-1
 i ,min,-1,,-1
 i ,hash,-1,,-1
 i ,combiner,-1,,-1
 p ,beta,-1,,-1
 p ,min,-1,,-1
 p ,hash,-1,,-1
 p ,combiner,-1,,-1
 q ,beta,-1,,-1
 q ,min,-1,,-1
 q ,hash,-1,,-1
 q ,combiner,-1,,-1
 r ,beta,-1,,-1
 r ,min,-1,,-1
 r ,hash,-1,,-1
 r ,combiner,-1,,-1
 num,beta,-1,,-1
expected,beta,0.27455738,,0.7958945830663046
collisions ,beta,-1,,-1
 num,min,-1,,-1
expected,min,0.14271678,,0.7958945830663046
collisions ,min,-1,,-1
 num,hash,-1,,-1
expected,hash,0.31708783,,0.7958945830663046
collisions ,hash,-1,,-1
 num,combiner,-1,,-1
expected,combiner,0.26110587,,0.7958945830663046
collisions ,combiner,-1,,-1
 ,beta,-1,,-1
2q ,beta,-1,,-1
 ,min,-1,,-1
2q ,min,-1,,-1
 ,hash,-1,,-1
2q ,hash,-1,,-1
 ,combiner,-1,,-1
2q ,combiner,-1,,-1
 ,beta,-1,,-1
2r ,beta,-1,,-1
 ,min,-1,,-1
2r ,min,-1,,-1
 ,hash,-1,,-1
2r ,hash,-1,,-1
 ,combiner,-1,,-1
2r ,combiner,-1,,-1
 x ,beta,-1,,-1
 x ,min,-1,,-1
 x ,hash,-1,,-1
 x ,combiner,-1,,-1
 b1 ,beta,-1,,-1
 b1 ,min,-1,,-1
 b1 ,hash,-1,,-1
 b1 ,combiner,-1,,-1
 b2 ,beta,-1,,-1
 b2 ,min,-1,,-1
 b2 ,hash,-1,,-1
 b2 ,combiner,-1,,-1
 den ,beta,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 den ,beta,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 product ,beta,-1,,-1
 product ,min,-1,,-1
 product ,hash,-1,,-1
 product ,combiner,-1,,-1
 item,beta,-1,,-1
in,beta,0.293466,,0.7485605676968893
intersection ,beta,-1,,-1
 item,min,-1,,-1
in,min,0.24776308,,0.7485605676968893
intersection ,min,-1,,-1
 item,hash,-1,,-1
in,hash,0.25106388,,0.7485605676968893
intersection ,hash,-1,,-1
 item,combiner,-1,,-1
in,combiner,0.3132326,,0.7485605676968893
intersection ,combiner,-1,,-1
 den ,beta,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 den ,beta,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 product ,beta,-1,,-1
 product ,min,-1,,-1
 product ,hash,-1,,-1
 product ,combiner,-1,,-1
 item,beta,-1,,-1
in,beta,0.293466,,0.7485605676968893
intersection ,beta,-1,,-1
 item,min,-1,,-1
in,min,0.24776308,,0.7485605676968893
intersection ,min,-1,,-1
 item,hash,-1,,-1
in,hash,0.25106388,,0.7485605676968893
intersection ,hash,-1,,-1
 item,combiner,-1,,-1
in,combiner,0.3132326,,0.7485605676968893
intersection ,combiner,-1,,-1
 sketch ,beta,-1,,-1
 sketch ,min,-1,,-1
 sketch ,hash,-1,,-1
 sketch ,combiner,-1,,-1
 den ,beta,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 den ,beta,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 registers ,beta,-1,,-1
 registers ,min,-1,,-1
 registers ,hash,-1,,-1
 registers ,serde,-1,,-1
 input,beta,-1,,-1
buffer ,beta,-1,,-1
 input,min,-1,,-1
buffer ,min,-1,,-1
 input,hash,-1,,-1
buffer ,hash,-1,,-1
 input,serde,-1,,-1
buffer ,serde,-1,,-1
 serde,beta,-1,,-1
token ,beta,-1,,-1
 serde,min,-1,,-1
token ,min,-1,,-1
 serde,hash,-1,,-1
token ,hash,-1,,-1
 serde,serde,-1,,-1
token ,serde,-1,,-1
 version ,beta,-1,,-1
 version ,min,-1,,-1
 version ,hash,-1,,-1
 version ,serde,-1,,-1
 byte,beta,-1,,-1
buffer ,beta,-1,,-1
 byte,min,-1,,-1
buffer ,min,-1,,-1
 byte,hash,-1,,-1
buffer ,hash,-1,,-1
 byte,serde,-1,,-1
buffer ,serde,-1,,-1
 bits ,bit,-1,,-1
 bits ,helper,-1,,-1
 bits ,bit,-1,,-1
 bits ,helper,-1,,-1
 bits ,bit,-1,,-1
 bits ,helper,-1,,-1
 out ,bit,-1,,-1
 out ,helper,-1,,-1
 ,bit,-1,,-1
2to,bit,-1,,-1
the,bit,0.4408871,,0.7511277000109354
q ,bit,-1,,-1
 ,helper,-1,,-1
2to,helper,-1,,-1
the,helper,0.33425578,,0.7511277000109354
q ,helper,-1,,-1
 offset ,bit,-1,,-1
 offset ,helper,-1,,-1
 byte,bit,-1,,-1
len ,bit,-1,,-1
 byte,helper,-1,,-1
len ,helper,-1,,-1
 bytes ,bit,-1,,-1
 bytes ,helper,-1,,-1
 exp ,bit,-1,,-1
 exp ,helper,-1,,-1
 byte,bit,-1,,-1
index ,bit,-1,,-1
 byte,helper,-1,,-1
index ,helper,-1,,-1
 output ,bit,-1,,-1
 output ,helper,-1,,-1
 mask ,bit,-1,,-1
 mask ,helper,-1,,-1
 i ,bit,-1,,-1
 i ,helper,-1,,-1
 shifted,bit,-1,,-1
mask ,bit,-1,,-1
 shifted,helper,-1,,-1
mask ,helper,-1,,-1
 bool,bit,-1,,-1
index ,bit,-1,,-1
 bool,helper,-1,,-1
index ,helper,-1,,-1
 shifted,bit,-1,,-1
mask ,bit,-1,,-1
 shifted,helper,-1,,-1
mask ,helper,-1,,-1
 bool,bit,-1,,-1
index ,bit,-1,,-1
 bool,helper,-1,,-1
index ,helper,-1,,-1
 serial,hmh,-1,,-1
version,hmh,-1,,0.7699069976806641
uid ,hmh,-1,,-1
 serial,cardinality,-1,,-1
version,cardinality,0.2533599,,0.7699069976806641
uid ,cardinality,-1,,-1
 serial,estimator,-1,,-1
version,estimator,0.34907156,,0.7699069976806641
uid ,estimator,-1,,-1
 min,hmh,-1,,-1
p ,hmh,-1,,-1
 min,cardinality,-1,,-1
p ,cardinality,-1,,-1
 min,estimator,-1,,-1
p ,estimator,-1,,-1
 raw,hmh,-1,,-1
estimate,hmh,-1,,0.8364861210187277
data ,hmh,-1,,-1
 raw,cardinality,-1,,-1
estimate,cardinality,0.29232317,,0.8364861210187277
data ,cardinality,-1,,-1
 raw,estimator,-1,,-1
estimate,estimator,0.6386616,,0.8364861210187277
data ,estimator,-1,,-1
 bias,hmh,-1,,-1
data ,hmh,-1,,-1
 bias,cardinality,-1,,-1
data ,cardinality,-1,,-1
 bias,estimator,-1,,-1
data ,estimator,-1,,-1
 hll,hmh,-1,,-1
estimate,hmh,-1,,0.8364861210187277
treshold ,hmh,-1,,-1
 hll,cardinality,-1,,-1
estimate,cardinality,0.29232317,,0.8364861210187277
treshold ,cardinality,-1,,-1
 hll,estimator,-1,,-1
estimate,estimator,0.6386616,,0.8364861210187277
treshold ,estimator,-1,,-1
 basic,hmh,-1,,-1
estimate ,hmh,-1,,-1
 basic,cardinality,-1,,-1
estimate ,cardinality,-1,,-1
 basic,estimator,-1,,-1
estimate ,estimator,-1,,-1
 num,hmh,-1,,-1
zero,hmh,-1,,0.7358408768971761
registers ,hmh,-1,,-1
 num,cardinality,-1,,-1
zero,cardinality,0.36685118,,0.7358408768971761
registers ,cardinality,-1,,-1
 num,estimator,-1,,-1
zero,estimator,0.27873743,,0.7358408768971761
registers ,estimator,-1,,-1
 linear,hmh,-1,,-1
counting,hmh,-1,,0.7369368473688761
estimate ,hmh,-1,,-1
 linear,cardinality,-1,,-1
counting,cardinality,0.33661222,,0.7369368473688761
estimate ,cardinality,-1,,-1
 linear,estimator,-1,,-1
