nome_projeto,nome_identificador,nome_classe,posicao_identificador,score
projeto, VERSION ,HyperMinHash,Atributo,6.0
projeto, registers,HyperMinHash,Atributo,8.0
projeto, p,HyperMinHash,Atributo,0.0
projeto, numZeroSearchBits,HyperMinHash,Atributo,0.25
projeto, r,HyperMinHash,Atributo,2.0
projeto, hash ,HyperMinHash,Variavel,2.0
projeto, hllHash ,HyperMinHash,Variavel,0.5
projeto, registerIndex ,HyperMinHash,Variavel,4.5
projeto, zeroSearchSpace ,HyperMinHash,Variavel,3.67
projeto, leftmostOnePosition ,HyperMinHash,Variavel,0.33
projeto, hmhHash ,HyperMinHash,Variavel,0.5
projeto, minHashBits ,HyperMinHash,Variavel,2.0
projeto, incomingRegister ,HyperMinHash,Variavel,4.5
projeto, that ,HyperMinHash,Variavel,3.0
projeto, result ,HyperMinHash,Variavel,7.0
projeto, instance ,HyperMinHashCombiner,Atributo,5.0
projeto, firstSketch ,HyperMinHashCombiner,Variavel,5.0
projeto, numRegisters ,HyperMinHashCombiner,Variavel,0.5
projeto, mergedSketch ,HyperMinHashCombiner,Variavel,4.0
projeto, c ,HyperMinHashCombiner,Variavel,1.0
projeto, n ,HyperMinHashCombiner,Variavel,1.0
projeto, firstSketch ,HyperMinHashCombiner,Variavel,5.0
projeto, numRegisters ,HyperMinHashCombiner,Variavel,0.5
projeto, itemInIntersection ,HyperMinHashCombiner,Variavel,3.0
projeto, cardinalities ,HyperMinHashCombiner,Variavel,1.0
projeto, i ,HyperMinHashCombiner,Variavel,0.0
projeto, _2q ,HyperMinHashCombiner,Variavel,1.0
projeto, _2r ,HyperMinHashCombiner,Variavel,1.0
projeto, x ,HyperMinHashCombiner,Variavel,4.0
projeto, b1 ,HyperMinHashCombiner,Variavel,1.0
projeto, b2 ,HyperMinHashCombiner,Variavel,1.0
projeto, den ,HyperMinHashCombiner,Variavel,1.0
projeto, den ,HyperMinHashCombiner,Variavel,1.0
projeto, product ,HyperMinHashCombiner,Variavel,5.0
projeto, firstSketch ,HyperMinHashCombiner,Variavel,5.0
projeto, p ,HyperMinHashCombiner,Variavel,0.0
projeto, numZeroSearchBits ,HyperMinHashCombiner,Variavel,0.25
projeto, r ,HyperMinHashCombiner,Variavel,2.0
projeto, itemInIntersection ,HyperMinHashCombiner,For,3.0
projeto, den ,HyperMinHashCombiner,For,1.0
projeto, den ,HyperMinHashCombiner,For,1.0
projeto, product ,HyperMinHashCombiner,For,5.0
projeto, itemInIntersection ,HyperMinHashCombiner,if,3.0
projeto, sketch ,HyperMinHashCombiner,if,5.0
projeto, den ,HyperMinHashCombiner,if,1.0
projeto, den ,HyperMinHashCombiner,if,1.0
projeto, inputBuffer ,HyperMinHashSerDe,Variavel,1.5
projeto, serdeToken ,HyperMinHashSerDe,Variavel,0.5
projeto, version ,HyperMinHashSerDe,Variavel,6.0
projeto, p ,HyperMinHashSerDe,Variavel,0.0
projeto, r ,HyperMinHashSerDe,Variavel,2.0
projeto, registerSerdeToken ,HyperMinHashSerDe,Variavel,2.0
projeto, numRegisters ,HyperMinHashSerDe,Variavel,0.5
projeto, registersClass ,HyperMinHashSerDe,Variavel,6.5
projeto, registers,HyperMinHashSerDe,Variavel,8.0
projeto, registerValues ,HyperMinHashSerDe,Variavel,5.5
projeto, registerValues ,HyperMinHashSerDe,Variavel,5.5
projeto, outputBuffer ,HyperMinHashSerDe,Variavel,1.5
projeto, registersClass ,HyperMinHashSerDe,Variavel,6.5
projeto, registersSerdeToken ,HyperMinHashSerDe,Variavel,3.0
projeto, longRegisters ,HyperMinHashSerDe,Variavel,5.5
projeto, intRegisters ,HyperMinHashSerDe,Variavel,0.5
projeto, registersClass ,HyperMinHashSerDe,Variavel,6.5
projeto, registerSizeInBytes,HyperMinHashSerDe,Variavel,3.25
projeto, registerValues ,HyperMinHashSerDe,if,5.5
projeto, i ,HyperMinHashSerDe,if,0.0
projeto, registerValues ,HyperMinHashSerDe,if,5.5
projeto, i ,HyperMinHashSerDe,if,0.0
projeto, longRegisters ,HyperMinHashSerDe,if,5.5
projeto, register ,HyperMinHashSerDe,if,5.0
projeto, intRegisters ,HyperMinHashSerDe,if,0.5
projeto, register ,HyperMinHashSerDe,if,5.0
projeto, registers,IntRegisters,Atributo,8.0
projeto, p,IntRegisters,Atributo,0.0
projeto, r,IntRegisters,Atributo,2.0
projeto, intIncomingRegister ,IntRegisters,Variavel,0.33
projeto, currentRegister ,IntRegisters,Variavel,4.5
projeto, currentLeadingOnePosition ,IntRegisters,Variavel,3.5
projeto, incomingLeadingOnePosition ,IntRegisters,Variavel,3.5
projeto, currentMantissa ,IntRegisters,Variavel,2.5
projeto, incomingMantissa ,IntRegisters,Variavel,2.5
projeto, count ,IntRegisters,Variavel,3.0
projeto, that ,IntRegisters,Variavel,3.0
projeto, result ,IntRegisters,Variavel,7.0
projeto, currentMantissa ,IntRegisters,if,2.5
projeto, incomingMantissa ,IntRegisters,if,2.5
projeto, registers,LongRegisters,Atributo,8.0
projeto, p,LongRegisters,Atributo,0.0
projeto, r,LongRegisters,Atributo,2.0
projeto, currentRegister ,LongRegisters,Variavel,4.5
projeto, currentLeadingOnePosition ,LongRegisters,Variavel,3.5
projeto, incomingLeadingOnePosition ,LongRegisters,Variavel,3.5
projeto, currentMantissa ,LongRegisters,Variavel,2.5
projeto, incomingMantissa ,LongRegisters,Variavel,2.5
projeto, count ,LongRegisters,Variavel,3.0
projeto, that ,LongRegisters,Variavel,3.0
projeto, result ,LongRegisters,Variavel,7.0
projeto, currentMantissa ,LongRegisters,if,2.5
projeto, incomingMantissa ,LongRegisters,if,2.5
projeto, NULL_HASHCODE ,Murmur3,Atributo,1.5
projeto, C1_32 ,Murmur3,Atributo,1.5
projeto, C2_32 ,Murmur3,Atributo,1.0
projeto, R1_32 ,Murmur3,Atributo,1.0
projeto, R2_32 ,Murmur3,Atributo,1.0
projeto, M_32 ,Murmur3,Atributo,1.0
projeto, N_32 ,Murmur3,Atributo,1.0
projeto, C1 ,Murmur3,Atributo,2.0
projeto, C2 ,Murmur3,Atributo,1.0
projeto, R1 ,Murmur3,Atributo,1.0
projeto, R2 ,Murmur3,Atributo,1.0
projeto, R3 ,Murmur3,Atributo,1.0
projeto, M ,Murmur3,Atributo,1.0
projeto, N1 ,Murmur3,Atributo,1.0
projeto, N2 ,Murmur3,Atributo,1.0
projeto, DEFAULT_SEED ,Murmur3,Atributo,3.5
projeto, tail ,Murmur3,Atributo,2.0
projeto, tailLen,Murmur3,Atributo,2.0
projeto, totalLen,Murmur3,Atributo,2.0
projeto, hash,Murmur3,Atributo,2.0
projeto, hash ,Murmur3,Variavel,2.0
projeto, r0 ,Murmur3,Variavel,1.0
projeto, hash ,Murmur3,Variavel,2.0
projeto, r0 ,Murmur3,Variavel,1.0
projeto, r1 ,Murmur3,Variavel,1.0
projeto, hash ,Murmur3,Variavel,2.0
projeto, nblocks ,Murmur3,Variavel,1.0
projeto, i_4 ,Murmur3,Variavel,0.5
projeto, k ,Murmur3,Variavel,1.0
projeto, idx ,Murmur3,Variavel,1.0
projeto, k1 ,Murmur3,Variavel,1.0
projeto, hash ,Murmur3,Variavel,2.0
projeto, k ,Murmur3,Variavel,1.0
projeto, length ,Murmur3,Variavel,6.0
projeto, k1 ,Murmur3,Variavel,1.0
projeto, length ,Murmur3,Variavel,6.0
projeto, hash ,Murmur3,Variavel,2.0
projeto, hash ,Murmur3,Variavel,2.0
projeto, k1 ,Murmur3,Variavel,1.0
projeto, hash ,Murmur3,Variavel,2.0
projeto, nblocks ,Murmur3,Variavel,1.0
projeto, i8 ,Murmur3,Variavel,1.0
projeto, k ,Murmur3,Variavel,1.0
projeto, k1 ,Murmur3,Variavel,1.0
projeto, tailStart ,Murmur3,Variavel,3.5
projeto, h1 ,Murmur3,Variavel,1.0
projeto, h2 ,Murmur3,Variavel,1.0
projeto, nblocks ,Murmur3,Variavel,1.0
projeto, i16 ,Murmur3,Variavel,1.0
projeto, k1 ,Murmur3,Variavel,1.0
projeto, k2 ,Murmur3,Variavel,1.0
projeto, k1 ,Murmur3,Variavel,1.0
projeto, k2 ,Murmur3,Variavel,1.0
projeto, tailStart ,Murmur3,Variavel,3.5
projeto, offset2 ,Murmur3,Variavel,1.0
projeto, k ,Murmur3,Variavel,1.0
projeto, length2 ,Murmur3,Variavel,1.0
projeto, nblocks ,Murmur3,Variavel,1.0
projeto, i_4 ,Murmur3,Variavel,0.5
projeto, k ,Murmur3,Variavel,1.0
projeto, consumed ,Murmur3,Variavel,5.0
projeto, k1 ,Murmur3,Variavel,1.0
projeto, i_4 ,Murmur3,For,0.5
projeto, k ,Murmur3,For,1.0
projeto, i8 ,Murmur3,For,1.0
projeto, k ,Murmur3,For,1.0
projeto, i16 ,Murmur3,For,1.0
projeto, k1 ,Murmur3,For,1.0
projeto, k2 ,Murmur3,For,1.0
projeto, i_4 ,Murmur3,For,0.5
projeto, k ,Murmur3,For,1.0
projeto, k ,Murmur3,if,1.0
projeto, tail ,IncrementalHash32,Atributo,2.0
projeto, tailLen,IncrementalHash32,Atributo,2.0
projeto, totalLen,IncrementalHash32,Atributo,2.0
projeto, hash,IncrementalHash32,Atributo,2.0
projeto, offset2 ,IncrementalHash32,Variavel,1.0
projeto, k ,IncrementalHash32,Variavel,1.0
projeto, length2 ,IncrementalHash32,Variavel,1.0
projeto, nblocks ,IncrementalHash32,Variavel,1.0
projeto, i_4 ,IncrementalHash32,Variavel,0.5
projeto, k ,IncrementalHash32,Variavel,1.0
projeto, consumed ,IncrementalHash32,Variavel,5.0
projeto, k1 ,IncrementalHash32,Variavel,1.0
projeto, i_4 ,IncrementalHash32,For,0.5
projeto, k ,IncrementalHash32,For,1.0
projeto, k ,IncrementalHash32,if,1.0
projeto, NUM_THREADS ,DemoBetaMinHash,Atributo,0.5
projeto, threadPool ,DemoBetaMinHash,Atributo,3.0
projeto, rng ,DemoBetaMinHash,Atributo,1.0
projeto, out ,DemoBetaMinHash,Variavel,1.0
projeto, jac ,DemoBetaMinHash,Variavel,2.0
projeto, unionSize ,DemoBetaMinHash,Variavel,2.5
projeto, intersectionSize ,DemoBetaMinHash,Variavel,5.5
projeto, sketchSize ,DemoBetaMinHash,Variavel,4.5
projeto, sketches ,DemoBetaMinHash,Variavel,7.0
projeto, combiner ,DemoBetaMinHash,Variavel,1.0
projeto, sb ,DemoBetaMinHash,Variavel,1.0
projeto, exactUnionSize ,DemoBetaMinHash,Variavel,4.0
projeto, sum ,DemoBetaMinHash,Variavel,2.0
projeto, out ,DemoBetaMinHash,Variavel,1.0
projeto, counter ,DemoBetaMinHash,Variavel,2.0
projeto, val ,DemoBetaMinHash,Variavel,4.0
projeto, sb ,DemoBetaMinHash,Variavel,1.0
projeto, sb ,DemoBetaMinHash,Variavel,1.0
projeto, pct ,DemoBetaMinHash,Variavel,1.0
projeto, jac ,DemoBetaMinHash,For,2.0
projeto, unionSize ,DemoBetaMinHash,For,2.5
projeto, intersectionSize ,DemoBetaMinHash,For,5.5
projeto, sketchSize ,DemoBetaMinHash,For,4.5
projeto, val ,DemoBetaMinHash,For,4.0
projeto, delta ,CommonTests,Variavel,1.0
projeto, unique ,CommonTests,Variavel,3.0
projeto, assertionCheckpoint ,CommonTests,Variavel,5.0
projeto, bytes ,CommonTests,Variavel,3.0
projeto, exact ,CommonTests,Variavel,7.0
projeto, res ,CommonTests,Variavel,4.0
projeto, pctError ,CommonTests,Variavel,0.5
projeto, unique ,CommonTests,Variavel,3.0
projeto, bytes ,CommonTests,Variavel,3.0
projeto, msk ,CommonTests,Variavel,1.0
projeto, exact ,CommonTests,Variavel,7.0
projeto, res ,CommonTests,Variavel,4.0
projeto, pctError ,CommonTests,Variavel,0.5
projeto, sk1 ,CommonTests,Variavel,1.0
projeto, sk2 ,CommonTests,Variavel,1.0
projeto, frac ,CommonTests,Variavel,1.0
projeto, expected ,CommonTests,Variavel,7.0
projeto, result ,CommonTests,Variavel,7.0
projeto, pctError ,CommonTests,Variavel,0.5
